R_fighter,B_fighter,Winner
Alistair Overeem,Jairzinho Rozenstruik,Blue
Aspen Ladd,Yana Kunitskaya,Red
Rob Font,Ricky Simon,Red
Cody Stamann,Song Yadong,Draw
Stefan Struve,Ben Rothwell,Blue
Thiago Alves,Tim Means,Blue
Billy Quarantillo,Jacob Kilburn,Red
Joe Solecki,Matt Wiman,Red
Bryce Mitchell,Matt Sayles,Red
Virna Jandiroba,Mallory Martin,Red
Makhmud Muradov,Trevor Smith,Red
Sergio Moraes,James Krause,Blue
Charles Oliveira,Jared Gordon,Red
Jan Blachowicz,Jacare Souza,Red
Ricardo Ramos,Eduardo Garagorri,Red
Antonio Arroyo,Andre Muniz,Blue
Mauricio Rua,Paul Craig,Draw
Markus Perez,Wellington Turman,Blue
Warlley Alves,Randy Brown,Blue
Ariane Lipski,Isabela de Padua,Red
Douglas Silva de Andrade,Renan Barao,Red
Vanessa Melo,Tracy Cortez,Blue
Francisco Trinaldo,Bobby Green,Red
Alexander Volkov,Greg Hardy,Red
Shamil Gamzatov,Klidson Abreu,Red
Zelim Imadaev,Danny Roberts,Blue
Rustam Khabilov,Sergey Khandozhko,Red
Khadis Ibragimov,Ed Herman,Blue
Ramazan Emeev,Anthony Rocco Martin,Blue
Zabit Magomedsharipov,Calvin Kattar,Red
Magomed Ankalaev,Dalcha Lungiambula,Red
Abubakar Nurmagomedov,David Zawada,Blue
Roman Kopylov,Karl Roberson,Blue
Alexander Yakovlev,Roosevelt Roberts,Blue
Jessica-Rose Clark,Pannie Kianzad,Blue
Grigory Popov,Davey Grant,Blue
Kevin Lee,Gregor Gillespie,Red
Stephen Thompson,Vicente Luque,Red
Jorge Masvidal,Nate Diaz,Red
Shane Burgos,Makwan Amirkhani,Red
Corey Anderson,Johnny Walker,Red
Kelvin Gastelum,Darren Till,Blue
Derrick Lewis,Blagoy Ivanov,Red
Brad Tavares,Edmen Shahbazyan,Blue
Andrei Arlovski,Jairzinho Rozenstruik,Blue
Katlyn Chookagian,Jennifer Maia,Red
Julio Arce,Hakeem Dawodu,Blue
Lyman Good,Chance Rencountre,Red
Ciryl Gane,Don'Tale Mayes,Red
Michael Johnson,Stevie Ray,Blue
Enrique Barzola,Movsar Evloev,Blue
Randa Markos,Ashley Yoder,Red
Frank Camacho,Beneil Dariush,Blue
